 191 (  BF): EconomyBoostWindfallMultiplier
 192 (  C0): PersonalMissionIntelCostReduction
 193 (  C1): LongDashRange
 194 (  C2): ShortDashRange
 195 (  C3): ShopRestockTime
 196 (  C4): AdditionalDelayBeforeFirstLiberator
 197 (  C5): LiberationProgressSlopesOffAfter
 198 (  C6): LiberationProgressLimitPerCharacter
 199 (  C7): PayForOneLiberation
 200 (  C8): PayForLiberations
 201 (  C9): MaxThrowSpeed
 202 (  CA): WindowBreakMomentum
 203 (  CB): StunMomentum
 204 (  CC): ShipsSecured
 205 (  CD): ShipsNeededForLiberation
 206 (  CE): FancyMode
 207 (  CF): VapourBurn
 208 (  D0): LowerModulesDrawnToSurfaceRate
 209 (  D1): ModulesDrawnToSurfacePerFrame
 210 (  D2): SurfaceSizeLimit
 211 (  D3): SurfaceSize
 212 (  D4): Nebulae
 213 (  D5): BackgroundLayers
 214 (  D6): Surfaces
 215 (  D7): ParticleTrails
 216 (  D8): ShipSurfaceSize
 217 (  D9): ShipSurfaceCount
 218 (  DA): ShipSurfaceModuleOffset
 219 (  DB): IconSurfaceSize
 220 (  DC): IconSurfaceCount
 221 (  DD): MinModulesForSurface
 222 (  DE): GreekLetters
 223 (  DF): GreekLetterCount
 224 (  E0): AmmoNames
 225 (  E1): AmmoSprites
 226 (  E2): RarityNames
 227 (  E3): MediumCapacity
 228 (  E4): HighCapacity
 229 (  E5): LongRange
 230 (  E6): ExtremeRange
 231 (  E7): CapacityForRechargeableGun
 232 (  E8): WorkshopItemsInUse
 233 (  E9): MaxValueForRarity
 234 (  EA): ChanceOfRarity
 235 (  EB): DesiredWorkshopItemCount
 236 (  EC): WorkshopChanceForRarity
 237 (  ED): MaxRarity
 238 (  EE): MaxThrustVolume
 239 (  EF): RecentUnlocks
 240 (  F0): RecentUnlockCount
 241 (  F1): RecentUnlockMax
 242 (  F2): AllModulesWeveDestroyed
 243 (  F3): GiftBox
 244 (  F4): CollisionMask
 245 (  F5): Saving
 246 (  F6): MissionsCompleted
 247 (  F7): EnableSharing
 248 (  F8): SeasonalEvents
 249 (  F9): FirstLaunch
 250 (  FA): PausedMission
 251 (  FB): PausedObjective
 252 (  FC): PausedObjectiveInInventory
 253 (  FD): GiftFriendsReceived
 254 (  FE): GiftsReceived
 255 (  FF): LastGiftSentTime
 256 ( 100): LastGiftReceivedTime
 257 ( 101): GunSpriteNameMap
 258 ( 102): GunSpriteRifleSet
 259 ( 103): LootDepth
 260 ( 104): CursorTipCircleDepth
 261 ( 105): GalaxySurfaceDepth
 262 ( 106): DustLayerDepth
 263 ( 107): StarDepth
 264 ( 108): VapourCloudDepth
 265 ( 109): NebulaFeatureDepth
 266 ( 10A): VapourShadowDepth
 267 ( 10B): ShipVisionConeDepth
 268 ( 10C): FloatingObjectsDepth
 269 ( 10D): StationRockDepth
 270 ( 10E): StationDepth
 271 ( 10F): VapourTrailDepth
 272 ( 110): ScreenMaskDepth
 273 ( 111): ShipHUDDepth
 274 ( 112): TransitTubeDepth
 275 ( 113): ShipFloorDepth
 276 ( 114): ShipFloorFeaturesDepth
 277 ( 115): AirlockInteriorDepth
 278 ( 116): ForcefieldJoinerDepth
 279 ( 117): PlayerShipDockedDepth
 280 ( 118): TerminalDepth
 281 ( 119): BloodSplatterDepth
 282 ( 11A): LootBoxDepth
 283 ( 11B): LootBoxLidDepth
 284 ( 11C): ShipFloorMarkerDepth
 285 ( 11D): KeycardDepth
 286 ( 11E): ShopDepth
 287 ( 11F): PersonalBulletDepth
 288 ( 120): PlayerDepth
 289 ( 121): BloodDepth
 290 ( 122): WindowGlassDepth
 291 ( 123): SecurityCameraDepth
 292 ( 124): StationLiftRoofDepth
 293 ( 125): ShipHullDepth
 294 ( 126): ShipHullFeaturesDepth
 295 ( 127): AsteroidExteriorDepth
 296 ( 128): AirlockExteriorDepth
 297 ( 129): ShipOverlayDepth
 298 ( 12A): PlayerShipDepth
 299 ( 12B): MissileDepth
 300 ( 12C): ExplosionDepth
 301 ( 12D): SlowMotionEffectDepth
 302 ( 12E): SaturationEffectDepth
 303 ( 12F): TeleportEffectDepth
 304 ( 130): BlackoutEffectDepth
 305 ( 131): CrtEffectDepth
 306 ( 132): GunRangeDepth
 307 ( 133): CharacterMarkerDepth
 308 ( 134): HighlightedCharacterMarkerDepth
 309 ( 135): SoundPingDepth
 310 ( 136): ReticuleDepth
 311 ( 137): MenuDepth
 312 ( 138): LiberationShipDepth
 313 ( 139): CursorDepth
 314 ( 13A): TipsDepth
 315 ( 13B): TutorialDepth
 316 ( 13C): DebugStuffDepth
 317 ( 13D): DifficultyMap
 318 ( 13E): BreakMap
 319 ( 13F): RareDifficulties
 320 ( 140): DifficultyLevelNames
 321 ( 141): MaxPayForDifficultyLevel
 322 ( 142): MinPayForDifficultyLevel
 323 ( 143): MaxPayForOverrideMission
 324 ( 144): MercenaryDescriptions
 325 ( 145): KitDescriptions
 326 ( 146): KitCosts
 327 ( 147): DifficultyTypeNames
 328 ( 148): NamesForReinforcementTypes
 329 ( 149): IntervalsForReinforcementTypes
 330 ( 14A): MercenarySetsForReinforcementTypes
 331 ( 14B): MissionTypeForClient
 332 ( 14C): StationsNeededForFirstLiberation
 333 ( 14D): StationsNeededForClient
 334 ( 14E): StationsNeededForLastUnlock
 335 ( 14F): ClientDescriptions
 336 ( 150): ClientColours
 337 ( 151): CoolBlue
 338 ( 152): FriendlyBlue
 339 ( 153): ExcitingGreen
 340 ( 154): ExcitingOrange
 341 ( 155): BadRed
 342 ( 156): WarningOrange
 343 ( 157): ElectricYellow
 344 ( 158): ScaryPurple
 345 ( 159): InventoryBackgroundHighlighted
 346 ( 15A): LaserRed
 347 ( 15B): DarkGrey
 348 ( 15C): SelectedColour
 349 ( 15D): UnaffordableColour
 350 ( 15E): TutorialColour
 351 ( 15F): MissionColour
 352 ( 160): PersonalMissionColour
 353 ( 161): RescueBonusColour
 354 ( 162): RarityColours
 355 ( 163): UniqueItemsUnlocked
 356 ( 164): UniqueItems
 357 ( 165): ItemCount
 358 ( 166): ItemIndexes
 359 ( 167): TraitFactionObject
 360 ( 168): MercenaryArrays
 361 ( 169): MercenaryArrayCounts
 362 ( 16A): MercenaryArrayPay
 363 ( 16B): RareShipmentStartDate
 364 ( 16C): RareShipmentEndDate
 365 ( 16D): RareShipmentName
 366 ( 16E): RareShipmentFactionIndex
 367 ( 16F): Difficulty
 368 ( 170): UniqueItemsDefaultUnlocked
 369 ( 171): PatchMessage
 370 ( 172): PatchNotes
 371 ( 173): TraitsUnlocked
 372 ( 174): NPCSeat
 373 ( 175): FiascoSeat
 374 ( 176): FiascoDialogSeat
 375 ( 177): NPCDialogAltSeat
 376 ( 178): ItemIndexesUnlocked
 377 ( 179): VapourWakeCreatedCount
 378 ( 17A): SetCreatedCount
 379 ( 17B): SetPool
 380 ( 17C): ShaderSurfaceDepth
 381 ( 17D): ViewSizePower
 382 ( 17E): AutopilotMode
 383 ( 17F): CurrentZoom
 384 ( 180): CursorSprite
 385 ( 181): MenuClick
 386 ( 182): AutopilotTipIndex
 387 ( 183): ArrivedAtPlayersBodyz
 388 ( 184): Autopilot
 389 ( 185): MyDestination
 390 ( 186): FinalDestination
 391 ( 187): DestinationObject
 392 ( 188): JourneyDistance
 393 ( 189): DestinationDistance
 394 ( 18A): FinalDestinationDistance
 395 ( 18B): xSpeed
 396 ( 18C): LastxSpeed
 397 ( 18D): ySpeed
 398 ( 18E): LastySpeed
 399 ( 18F): DestinationDirection
 400 ( 190): FinalDestinationDirection
 401 ( 191): Ship
 402 ( 192): TrackingObject
